Intention to buy a Mazda,Gender,Age,Monthly family Income,Personal income,Marital status,City,Education Level household,Education Level,Social Class,When will purchase new car in months,TV ad x Mazda,Car Magazines Ad x Mazda,Online search x Mazda,Corporate website x Mazda,Internet Ad x Mazda,Test drive x Mazda,Car in dealer showroom x Mazda,Sales person at dealer x Mazda,Ads info in dealer showroom x Mazda,Car seen on street x Mazda,Professional reco mechanic etc x Mazda,Article in newspaper x Mazda,Car display in public places x Mazda,Actual Make of Car
2. Medium,Male ,29,4,4,Divorced,POA/Curitiba/Floripa ,2,5,4,1,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Male ,23,3,2,Divorced,Brasilia/Goiania ,3,3,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,VW 
2. Medium,Male ,40,6,4,Divorced,Sao Paulo ,2,5,4,6,Maybe,Yes,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Male ,23,4,3,Divorced,Recife/Salvador/Fortaleza ,5,5,2,1,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,HYUNDAI 
2. Medium,Female ,20,8,5,Divorced,Sao Paulo ,5,5,2,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,Yes,No,Yes,No,CITROEN 
2. Medium,Male ,22,8,8,Divorced,Rio de Janeiro ,4,4,2,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Female ,31,6,5,Divorced,POA/Curitiba/Floripa ,4,5,2,5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,VW 
2. Medium,Male ,39,6,6,Divorced,Sao Paulo ,5,5,2,6,Maybe,No,No,No,No,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Female ,31,4,4,Divorced,Sao Paulo ,5,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,No,No,HONDA 
2. Medium,Female ,21,3,2,Divorced,Rio de Janeiro ,4,5,5,5,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,Yes,No,No,No, 
2. Medium,Female ,25,5,1,Divorced,POA/Curitiba/Floripa ,4,4,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,RENAULT 
2. Medium,Female ,59,6,6,Divorced,Sao Paulo ,5,5,2,1,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Female ,39,7,5,Divorced,Sao Paulo ,5,5,3,4,No,No,No,No,No,No,Yes,No,No,No,No,No,No,KIA 
2. Medium,Male ,39,6,6,Divorced,Belo Horizonte ,5,5,2,4,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,FORD 
2. Medium,Male ,32,8,8,Divorced,Rio de Janeiro ,4,4,2,2,No,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Male ,19,4,2,Divorced,Recife/Salvador/Fortaleza ,4,4,4,5,No,No,No,No,No,No,No,No,No,No,No,No,No,VW 
2. Medium,Female ,22,4,1,Divorced,Recife/Salvador/Fortaleza ,4,4,6,2,No,No,No,No,Yes,No,No,No,No,No,No,No,No,CADILLAC 
2. Medium,Male ,25,4,4,Divorced,Sao Paulo ,4,4,5,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,Yes,CHEVROLET/GM 
2. Medium,Male ,29,7,5,Divorced,Belo Horizonte ,4,5,2,3,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,HYUNDAI 
2. Medium,Male ,32,6,4,Divorced,Sao Paulo ,4,4,4,2,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,HYUNDAI 
2. Medium,Male ,44,4,3,Divorced,Rio de Janeiro ,5,5,5,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,FIAT 
2. Medium,Male ,20,6,9,Divorced,Rio de Janeiro ,5,4,3,6,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,Yes,No,Yes,No, 
2. Medium,Male ,21,6,3,Divorced,Belo Horizonte ,4,4,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,VW 
2. Medium,Male ,37,4,4,Divorced,Sao Paulo ,4,4,5,2,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Female ,18,6,6,Divorced,POA/Curitiba/Floripa ,5,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,Yes,No,No,Yes,CITROEN 
2. Medium,Female ,18,6,1,Divorced,Rio de Janeiro ,2,4,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,TOYOTA 
2. Medium,Female ,56,6,5,Divorced,Brasilia/Goiania ,4,4,3,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,No,No,FORD 
2. Medium,Male ,31,6,5,Divorced,Sao Paulo ,5,5,2,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Male ,33,5,4,Divorced,Belo Horizonte ,4,4,5,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,VW 
2. Medium,Female ,59,5,5,Divorced,Rio de Janeiro ,5,5,2,2,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,CHEVROLET/GM 
2. Medium,Female ,59,7,5,Divorced,Belo Horizonte ,3,5,2,6,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Male ,22,6,4,Divorced,Sao Paulo ,4,4,3,4,Maybe,Maybe,No,No,No,No,Yes,No,No,No,No,No,No,PEUGEOT 
2. Medium,Male ,32,4,3,Divorced,Rio de Janeiro ,5,4,5,6,No,No,No,No,No,No,No,No,No,No,No,No,No,CITROEN 
2. Medium,Male ,20,5,2,Divorced,Brasilia/Goiania ,4,4,3,2,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,Yes,No,Yes,No,No,No,FIAT 
2. Medium,Male ,22,8,8,Divorced,Rio de Janeiro ,4,4,2,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Mazda 
2. Medium,Male ,34,6,6,Divorced,Sao Paulo ,5,5,2,1,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,FORD 
2. Medium,Male ,57,4,3,Divorced,Sao Paulo ,4,4,2,4,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,FIAT 
2. Medium,Male ,53,5,5,Divorced,Belo Horizonte ,5,5,4,1,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,CHEVROLET/GM 
2. Medium,Male ,24,7,4,Divorced,Sao Paulo ,5,5,3,2,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,HYUNDAI 
2. Medium,Female ,33,6,3,Divorced,Belo Horizonte ,5,5,3,6,Maybe,Maybe,Maybe,No,Yes,No,No,No,No,Yes,No,No,No,KIA 
2. Medium,Female ,22,8,7,Divorced,Belo Horizonte ,5,5,2,6,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,Yes,No,No,No,FIAT 
2. Medium,Male ,23,6,5,Divorced,Brasilia/Goiania ,5,5,2,3,No,No,No,No,No,No,No,No,No,No,No,No,No,FORD 
2. Medium,Male ,22,4,9,Divorced,Belo Horizonte ,2,2,6,6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,FIAT 
2. Medium,Male ,43,6,6,Divorced,Sao Paulo ,4,4,3,4,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,FORD 
2. Medium,Male ,31,8,5,Divorced,Sao Paulo ,5,5,4,5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,CITROEN 
2. Medium,Male ,21,5,3,Divorced,Sao Paulo ,4,4,5,5,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,No,Yes,No,No,No,VW 
2. Medium,Female ,23,8,4,Divorced,Rio de Janeiro ,5,5,2,2,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Mazda 
2. Medium,Female ,43,4,4,Divorced,Recife/Salvador/Fortaleza ,5,5,6,6,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes, 
2. Medium,Female ,37,5,5,Divorced,Brasilia/Goiania ,5,5,4,3,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,CITROEN 
2. Medium,Male ,29,6,6,Divorced,Sao Paulo ,5,5,3,4,Maybe,Maybe,No,No,No,No,No,No,No,No,No,No,No,CITROEN 
2. Medium,Male ,34,4,4,Divorced,Recife/Salvador/Fortaleza ,5,5,2,3,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,FIAT 
2. Medium,Male ,50,6,5,Divorced,POA/Curitiba/Floripa ,5,5,4,6,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Male ,23,5,2,Divorced,Rio de Janeiro ,4,4,5,4,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,CHEVROLET/GM 
2. Medium,Female ,38,5,3,Divorced,Rio de Janeiro ,4,5,3,3,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,Yes,No,No,Yes,PEUGEOT 
2. Medium,Male ,29,7,5,Divorced,Sao Paulo ,5,5,4,4,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Female ,21,7,5,Divorced,Rio de Janeiro ,5,4,3,3,Maybe,Maybe,Maybe,Maybe,No,No,Yes,Yes,No,Yes,No,No,Yes,RENAULT 
2. Medium,Female ,28,4,1,Divorced,Sao Paulo ,3,5,5,4,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,FORD 
2. Medium,Female ,26,7,5,Divorced,POA/Curitiba/Floripa ,2,4,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,No,No,No,No,Yes,CHEVROLET/GM 
2. Medium,Male ,31,7,6,Divorced,Rio de Janeiro ,5,5,5,3,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,CADILLAC 
2. Medium,Male ,57,6,6,Divorced,Recife/Salvador/Fortaleza ,5,5,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No,Yes,No,No,No,FIAT 
2. Medium,Male ,26,6,4,Divorced,Sao Paulo ,4,4,3,4,No,No,No,No,Yes,No,No,No,No,No,No,No,No,VW 
2. Medium,Male ,22,5,4,Divorced,POA/Curitiba/Floripa ,5,5,4,6,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,CHEVROLET/GM 
2. Medium,Female ,20,4,4,Divorced,POA/Curitiba/Floripa ,3,5,4,5,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,FIAT 
2. Medium,Male ,26,7,6,Divorced,Belo Horizonte ,5,5,2,2,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,CITROEN 
2. Medium,Male ,28,7,4,Divorced,POA/Curitiba/Floripa ,4,5,4,5,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,FORD 
2. Medium,Male ,41,7,2,Divorced,Rio de Janeiro ,4,4,3,3,Maybe,Maybe,No,No,No,No,No,No,No,Yes,No,No,No,VW 
2. Medium,Male ,54,5,4,Divorced,Sao Paulo ,5,5,3,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes, 
2. Medium,Female ,22,6,3,Divorced,Sao Paulo ,5,4,2,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,HYUNDAI 
2. Medium,Male ,35,6,6,Divorced,Rio de Janeiro ,5,5,3,4,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,No,No,Yes,Yes,FIAT 
2. Medium,Male ,26,6,6,Divorced,Sao Paulo ,5,5,6,4,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,FORD 
2. Medium,Male ,26,6,5,Divorced,Sao Paulo ,5,5,3,3,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,FORD 
2. Medium,Male ,30,6,4,Divorced,Belo Horizonte ,4,4,4,3,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,RENAULT 
2. Medium,Male ,21,6,2,Divorced,Sao Paulo ,5,4,2,4,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,PEUGEOT 
2. Medium,Male ,21,5,4,Divorced,Sao Paulo ,3,4,4,5,Maybe,Maybe,Maybe,Maybe,No,No,No,Yes,No,Yes,No,No,No,CHEVROLET/GM 
2. Medium,Male ,26,8,5,Divorced,Recife/Salvador/Fortaleza ,5,4,1,1,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,HYUNDAI 
2. Medium,Male ,49,5,4,Divorced,Sao Paulo ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,No,No,Yes,Yes,Yes,Yes,No,No,No,FORD 
2. Medium,Male ,22,6,1,Divorced,Sao Paulo ,4,5,4,4,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,FIAT 
2. Medium,Male ,36,4,4,Divorced,Recife/Salvador/Fortaleza ,4,5,6,3,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,FIAT 
2. Medium,Female ,18,5,1,Divorced,Rio de Janeiro ,4,4,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,No,No,No,Yes,HYUNDAI 
2. Medium,Male ,25,5,5,Divorced,Belo Horizonte ,4,5,5,5,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,FIAT 
1. High,Male ,25,6,5,Divorced,Sao Paulo ,5,5,2,6,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,CITROEN 
1. High,Male ,21,4,4,Divorced,POA/Curitiba/Floripa ,4,4,4,4,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,CITROEN 
1. High,Female ,31,6,2,Divorced,Sao Paulo ,4,4,4,6,Maybe,Maybe,Maybe,Maybe,No,No,No,No,No,Yes,No,No,No,PEUGEOT 
1. High,Female ,25,5,1,Divorced,Brasilia/Goiania ,4,4,5,6,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,FIAT 
1. High,Male ,35,4,4,Divorced,Brasilia/Goiania ,4,4,4,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,Yes,No,FIAT 
1. High,Male ,25,6,5,Divorced,Recife/Salvador/Fortaleza ,5,5,4,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,FORD 
1. High,Female ,37,6,3,Divorced,POA/Curitiba/Floripa ,5,5,2,3,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,CHEVROLET/GM 
1. High,Female ,23,3,3,Divorced,Sao Paulo ,3,4,5,2,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,Yes,No,No,No,FIAT 
1. High,Female ,42,6,5,Divorced,Brasilia/Goiania ,5,5,3,4,Maybe,Maybe,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,CHEVROLET/GM 
1. High,Female ,35,5,5,Divorced,Belo Horizonte ,4,4,4,3,Maybe,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,FIAT 
1. High,Male ,61,4,4,Divorced,Rio de Janeiro ,5,5,2,5,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,FORD 
1. High,Male ,58,5,4,Divorced,Sao Paulo ,4,4,4,3,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,VW 
1. High,Male ,28,6,5,Divorced,Rio de Janeiro ,5,5,3,6,Maybe,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,HONDA 
1. High,Female ,20,6,2,Divorced,Sao Paulo ,5,5,3,5,Maybe,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,VW 
1. High,Female ,35,6,6,Divorced,Brasilia/Goiania ,5,5,2,4,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,FORD 
1. High,Male ,52,6,6,Divorced,Rio de Janeiro ,5,5,2,5,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,CROSS LANDER 
1. High,Female ,39,6,4,Divorced,Sao Paulo ,5,5,2,1,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Mazda 
1. High,Male ,20,7,1,Divorced,Rio de Janeiro ,5,4,2,4,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,CHANGAN 
1. High,Male ,26,5,2,Divorced,Brasilia/Goiania ,2,5,5,2,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,Yes,Yes,Yes,No,No,CHEVROLET/GM 
1. High,Female ,20,5,2,Divorced,Rio de Janeiro ,3,4,4,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,PEUGEOT 
1. High,Male ,28,7,7,Divorced,POA/Curitiba/Floripa ,5,5,3,2,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,FORD 
1. High,Female ,19,4,2,Divorced,Belo Horizonte ,4,4,4,2,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,FIAT 
1. High,Male ,21,5,3,Divorced,Brasilia/Goiania ,5,4,4,4,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,FIAT 
1. High,Female ,49,5,5,Divorced,Sao Paulo ,5,5,2,2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,FIAT 
1. High,Male ,18,5,9,Divorced,Sao Paulo ,5,4,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,CHEVROLET/GM 
1. High,Female ,52,8,6,Divorced,Sao Paulo ,5,5,2,3,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,FORD 
1. High,Female ,26,4,3,Divorced,Rio de Janeiro ,4,4,4,4,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No,Yes,No,Yes,Yes,FORD 
1. High,Male ,57,6,5,Divorced,Belo Horizonte ,4,4,4,1,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,HYUNDAI 
1. High,Female ,23,5,3,Divorced,Sao Paulo ,4,4,2,1,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,HONDA 
1. High,Male ,24,7,6,Divorced,Sao Paulo ,5,5,2,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,CHEVROLET/GM 
1. High,Male ,26,7,5,Divorced,Sao Paulo ,4,4,2,4,Maybe,Maybe,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,HONDA 
1. High,Male ,21,6,9,Divorced,Sao Paulo ,5,4,3,5,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,Yes,No,No,Yes,CHEVROLET/GM 
1. High,Male ,54,6,6,Divorced,Rio de Janeiro ,4,4,4,3,Maybe,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,CHEVROLET/GM 
1. High,Male ,28,3,3,Divorced,Belo Horizonte ,5,5,4,6,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,VW 
1. High,Female ,20,6,2,Divorced,Sao Paulo ,5,4,3,3,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,PEUGEOT 
1. High,Male ,40,5,5,Divorced,Rio de Janeiro ,5,5,2,4,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,RENAULT 
1. High,Male ,24,6,4,Divorced,Rio de Janeiro ,4,4,4,3,Maybe,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,FIAT 
1. High,Male ,39,4,3,Divorced,POA/Curitiba/Floripa ,5,5,2,3,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,FIAT 
1. High,Female ,27,3,1,Divorced,Sao Paulo ,5,5,4,6,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,VW 
1. High,Male ,25,5,2,Divorced,Belo Horizonte ,5,4,4,6,Maybe,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,FIAT 
1. High,Female ,26,6,6,Divorced,Sao Paulo ,5,5,3,2,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,CHEVROLET/GM 
1. High,Male ,19,4,3,Divorced,Recife/Salvador/Fortaleza ,4,4,6,2,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,VW 
1. High,Female ,49,6,6,Divorced,Belo Horizonte ,4,4,2,3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,FIAT 
1. High,Female ,50,7,5,Divorced,Sao Paulo ,5,5,3,5,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,RENAULT 
1. High,Female ,25,6,4,Divorced,Sao Paulo ,5,5,2,4,Maybe,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,TOYOTA 
1. High,Female ,26,5,5,Divorced,Brasilia/Goiania ,1,5,6,2,Maybe,Maybe,Maybe,Maybe,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,CHEVROLET/GM 
1. High,Male ,48,7,5,Divorced,Belo Horizonte ,4,5,3,5,Maybe,Maybe,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,FIAT 
1. High,Male ,49,7,3,Divorced,Recife/Salvador/Fortaleza ,4,4,3,3,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,VW 
1. High,Female ,23,6,2,Divorced,Sao Paulo ,4,5,5,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,FIAT 
1. High,Female ,24,6,4,Divorced,Sao Paulo ,4,4,3,4,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Mazda 
1. High,Female ,34,8,6,Divorced,Sao Paulo ,5,5,1,6,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,FIAT 
1. High,Male ,29,5,5,Divorced,Sao Paulo ,5,5,2,4,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,KIA 
1. High,Female ,27,8,5,Divorced,Rio de Janeiro ,4,5,3,4,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,CHEVROLET/GM 
1. High,Male ,50,6,5,Divorced,Sao Paulo ,5,5,3,3,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,VW 
1. High,Male ,21,3,2,Divorced,Belo Horizonte ,3,4,6,6,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,No,Yes,No,Yes,No,FIAT 
1. High,Male ,52,4,4,Divorced,Sao Paulo ,4,4,5,3,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,HYUNDAI 
1. High,Female ,37,4,4,Divorced,Brasilia/Goiania ,5,5,5,2,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,CHEVROLET/GM 
1. High,Male ,22,5,5,Divorced,Sao Paulo ,4,4,4,3,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Mazda 
1. High,Male ,33,6,6,Divorced,Belo Horizonte ,5,5,3,4,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,FIAT 
1. High,Female ,40,6,1,Divorced,Rio de Janeiro ,1,5,5,6,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,FIAT 
1. High,Male ,21,3,3,Divorced,POA/Curitiba/Floripa ,5,5,2,2,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,PEUGEOT 
1. High,Female ,32,6,5,Divorced,Recife/Salvador/Fortaleza ,5,5,2,1,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,BUGRE 
1. High,Female ,33,8,8,Divorced,Rio de Janeiro ,5,5,2,1,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,CADILLAC 
1. High,Male ,23,6,6,Divorced,POA/Curitiba/Floripa ,4,4,4,5,Maybe,Maybe,Maybe,Maybe,Yes,Yes,No,No,No,Yes,No,No,No,CHEVROLET/GM 
1. High,Male ,25,4,2,Divorced,POA/Curitiba/Floripa ,4,4,5,5,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,VW 
1. High,Male ,26,8,4,Divorced,Sao Paulo ,5,5,3,2,Maybe,Maybe,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,FIAT 
1. High,Male ,19,5,2,Divorced,Sao Paulo ,4,4,4,5,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,RENAULT 
1. High,Male ,26,3,2,Divorced,Recife/Salvador/Fortaleza ,4,4,5,2,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,HONDA 
1. High,Female ,21,5,4,Divorced,POA/Curitiba/Floripa ,4,4,4,1,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,CITROEN 
1. High,Female ,35,5,4,Divorced,Sao Paulo ,4,4,4,2,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,FORD 
1. High,Female ,32,6,4,Divorced,Sao Paulo ,2,5,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,FORD 
1. High,Male ,40,5,5,Divorced,Recife/Salvador/Fortaleza ,5,5,3,4,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,VW 
1. High,Male ,25,4,4,Divorced,POA/Curitiba/Floripa ,5,5,5,3,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,HYUNDAI 
1. High,Male ,21,6,9,Divorced,POA/Curitiba/Floripa ,4,4,4,6,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,HONDA 
1. High,Female ,31,4,4,Divorced,Recife/Salvador/Fortaleza ,4,4,4,4,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,TOYOTA 
1. High,Male ,32,4,3,Divorced,Brasilia/Goiania ,4,4,5,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,CARBODIES 
1. High,Male ,25,8,8,Divorced,Brasilia/Goiania ,5,5,2,4,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,CITROEN 
1. High,Male ,43,5,5,Divorced,Rio de Janeiro ,5,5,2,4,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,RENAULT 
1. High,Female ,47,4,3,Divorced,Brasilia/Goiania ,5,5,3,4,Maybe,Maybe,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,VW 
1. High,Male ,53,7,7,Divorced,Rio de Janeiro ,5,5,3,4,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,HONDA 
1. High,Female ,23,6,2,Divorced,Recife/Salvador/Fortaleza ,5,5,2,5,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,CITROEN 
