Level of Risk,Date,Employment Length,Previous Home Ownership,Business Consumer,Customer Age in year,Bank,Salary,Down Payment,Down Payment Ratio,Market Value,LastDecision Score
1. Good,10/10/15,2,rent,Business,56.3,,,1771.5,2.82,312353.1284,Yes
1. Good,10/9/15,10,mortgage,Consumer,55.6,Foreign Bank,5717,147501.11,94.71,1559353.275,Yes
2. Average,10/8/15,8,mortgage,Consumer,35.7,JPMorgan Chase,2394,30600,33.77,317265.0723,No
1. Good,10/7/15,5,rent,Consumer,46.6,PNC,5573,18001.62,9.42,246829.3351,Yes
1. Good,10/6/15,3,mortgage,Business,44,,,2184.21,2.36,319311.8104,Yes
2. Average,10/5/15,10,mortgage,Business,50.7,,,0,0,245797.7955,Yes
1. Good,10/4/15,10,rent,Business,41.1,HSBC,,1014.75,2.15,159487.5141,Yes
2. Average,10/3/15,10,rent,Consumer,24.3,Bank of America,2600,0,0,245675.4195,Yes
1. Good,10/2/15,10,rent,Business,40.9,Citigroup,,1385.4,2.32,191639.216,Yes
1. Good,10/1/15,10,rent,Consumer,45.1,Wells Fargo,4523,0,0,219887.4715,Yes
1. Good,9/30/15,4,rent,Business,37.7,HSBC,,15000.96,24.04,176205.9688,Yes
1. Good,9/29/15,6,rent,Consumer,42.3,,1320,0,0,194765.006,Yes
1. Good,9/28/15,4,mortgage,Consumer,32.8,JPMorgan Chase,1150,14400,34.19,170561.5189,Yes
1. Good,9/27/15,3,mortgage,Consumer,42.9,JPMorgan Chase,0,10254,17.11,138177.0948,Yes
1. Good,9/26/15,,mortgage,Consumer,28.3,The Bank of New York Mellon,3900,0,0,271171.712,Yes
1. Good,9/25/15,10,mortgage,Consumer,34.8,Bank of America,4000,6900,12.17,76111.53643,Yes
2. Average,9/24/15,,mortgage,Consumer,24.4,The Bank of New York Mellon,1500,31500,26.98,393728.5226,Yes
1. Good,9/23/15,2,rent,Consumer,21.7,,1100,8310,19.88,123630.4062,Yes
1. Good,9/22/15,6,rent,Consumer,65.1,,310,24000,42.33,270122.239,Yes
2. Average,9/21/15,1,own,Consumer,55.7,PNC,3521,0,0,125416.2802,Yes
1. Good,9/20/15,10,rent,Consumer,47.4,Wells Fargo,1500,80100,50.66,996123.3327,Yes
1. Good,9/19/15,10,own,Consumer,60.4,Citigroup,2800,1032.03,1.66,146404.0101,Yes
1. Good,9/18/15,10,rent,Business,51.6,,,966.6,2.44,146642.95,Yes
1. Good,9/17/15,2,rent,Business,35,Foreign Bank,,9275.88,10,133989.9212,Yes
1. Good,9/16/15,10,mortgage,Consumer,39.8,,1930,86301,85.19,1238069.569,Yes
1. Good,9/15/15,6,mortgage,Consumer,41.1,,1500,21000,51.47,234564.326,No
1. Good,9/14/15,3,mortgage,Consumer,55.5,,1600,11999.34,38.72,122885.4011,Yes
2. Average,9/13/15,7,mortgage,Business,46.9,,,0,0,228530.3602,Yes
1. Good,9/12/15,10,own,Consumer,56.3,,2600,53025,68.84,720743.8351,Yes
3. Risk,9/11/15,7,mortgage,Consumer,61.5,Citigroup,2070,1371,1.97,208308.5807,Yes
1. Good,9/10/15,10,rent,Consumer,34.9,PNC,1141,57840,79.41,583251.0839,Yes
2. Average,9/9/15,5,own,Consumer,20.8,,1850,5100,9.77,71108.16262,No
1. Good,9/8/15,8,mortgage,Consumer,59.3,Citigroup,2452,32100,71.75,321968.7574,Yes
1. Good,9/7/15,10,mortgage,Business,32.1,HSBC,,1757.16,1.84,234564.326,Yes
1. Good,9/6/15,1,own,Consumer,54.5,Wells Fargo,3300,6000,17.32,64312.34859,Yes
2. Average,9/5/15,2,rent,Consumer,34.7,US Bancorp,2000,1785.63,2.6,303042.5436,Yes
1. Good,9/4/15,,rent,Business,59.9,,,2071.59,2.03,317035.5296,Yes
1. Good,9/3/15,10,mortgage,Consumer,53.2,Citigroup,3008,80880,89.99,905468.7594,Yes
1. Good,9/2/15,3,rent,Consumer,48.4,JPMorgan Chase,3000,12000,31.01,133648.466,Yes
2. Average,9/1/15,3,mortgage,Consumer,64.8,The Bank of New York Mellon,1430,30000,26.32,381974.2646,No
2. Average,8/31/15,3,rent,Consumer,22.3,,1550,1328.34,1.73,157253.9587,Yes
1. Good,8/30/15,7,mortgage,Consumer,23.7,Citigroup,1400,27000,66.18,401440.848,Yes
1. Good,8/29/15,10,mortgage,Consumer,25.6,Citigroup,1280,0,0,273787.0725,Yes
1. Good,8/28/15,2,rent,Consumer,56,JPMorgan Chase,1225,8939.97,15.62,128192.0351,Yes
1. Good,8/27/15,7,rent,Consumer,39.8,PNC,1244,29175,70.85,346375.5112,Yes
1. Good,8/26/15,1,rent,Consumer,29.9,Citigroup,1200,0,0,177229.506,Yes
1. Good,8/25/15,5,mortgage,Consumer,28.2,Wells Fargo,1000,19635,39.56,204050.5138,Yes
2. Average,8/24/15,5,rent,Business,38.8,,,2350.5,2.97,321735.5045,Yes
1. Good,8/23/15,10,rent,Business,43.8,,,1504.41,2.8,209014.7312,Yes
1. Good,8/22/15,10,rent,Consumer,22.4,,1300,0,0,260713.6483,Yes
2. Average,8/21/15,0,rent,Business,27.3,Wells Fargo,,0,0,175691.4814,Yes
1. Good,8/20/15,10,rent,Consumer,28,Bank of America,1200,7769.97,15.95,105232.2481,Yes
1. Good,8/19/15,0,rent,Consumer,25.3,Citigroup,1218,900,4,139063.9142,Yes
2. Average,8/18/15,10,mortgage,Business,56.1,,,1876.77,2.86,245067.7269,Yes
2. Average,8/17/15,,mortgage,Consumer,27.8,Bank of America,2800,0,0,297012.8569,Yes
1. Good,8/16/15,2,mortgage,Consumer,35.5,,1200,9000,14.63,119484.5395,Yes
1. Good,8/15/15,10,mortgage,Consumer,23,,1700,88755,85.54,925265.724,Yes
1. Good,8/14/15,2,rent,Consumer,29.8,,1150,0,0,189001.8085,Yes
2. Average,8/13/15,7,rent,Business,27.9,,,2447.94,2.49,333097.2491,Yes
1. Good,8/12/15,10,rent,Consumer,42.3,HSBC,7639,145301.05,94.54,1590416.521,Yes
2. Average,8/11/15,3,mortgage,Consumer,30.4,Foreign Bank,2500,0,0,174686.3696,Yes
1. Good,8/10/15,,rent,Consumer,34.3,The Bank of New York Mellon,1853,96900.03,80.95,1404668.537,Yes
1. Good,8/9/15,6,rent,Consumer,41.2,,2020,1477.86,1.89,165951.5287,Yes
2. Average,8/8/15,0,rent,Consumer,25,,3200,0,0,133208.0475,No
1. Good,8/7/15,2,own,Consumer,32.8,Citigroup,1200,9015,29.09,113840.8918,Yes
1. Good,8/6/15,7,rent,Business,39,US Bancorp,,919.92,2.5,130904.3709,Yes
1. Good,8/5/15,10,rent,Consumer,59.7,,4281,468,0.77,346233.9592,Yes
1. Good,8/4/15,4,rent,Consumer,43.2,PNC,18794,14999.4,19.23,177702.0994,No
1. Good,8/3/15,2,mortgage,Consumer,64.3,PNC,3600,1638.63,1.89,192590.6316,Yes
1. Good,8/2/15,10,mortgage,Consumer,28.7,Citigroup,1768,67485,90,855694.195,Yes
1. Good,8/1/15,10,own,Consumer,53.8,Bank of America,2000,0,0,286193.18,Yes
2. Average,7/31/15,0,rent,Business,28.6,,,2260.59,2.97,398677.0987,Yes
1. Good,7/30/15,7,mortgage,Business,39.9,Wells Fargo,,28620,30,359689.0968,Yes
1. Good,7/29/15,0,rent,Business,48.3,,,2034.9,1.8,352980.8467,Yes
1. Good,7/28/15,0,own,Business,52.5,HSBC,,3155.49,1.9,426320.2692,Yes
1. Good,7/27/15,10,rent,Business,53.6,,,563.58,1.74,370808.0797,Yes
1. Good,7/26/15,1,own,Business,52.1,HSBC,,4631.13,2.17,63947.51694,Yes
1. Good,7/25/15,2,rent,Business,33.3,,,716.94,1.51,352625.0971,Yes
2. Average,7/24/15,6,rent,Consumer,28.8,Bank of America,1567.86,0,0,151460.1329,Yes
1. Good,7/23/15,2,rent,Consumer,30.4,US Bancorp,1600,9004.5,10.35,116906.0799,Yes
1. Good,7/22/15,3,mortgage,Consumer,68.3,,1465,12383.79,18.56,146404.0101,Yes
1. Good,7/21/15,10,own,Consumer,39.1,HSBC,3000,58050,82.87,845025.9761,Yes
2. Average,7/20/15,7,mortgage,Consumer,46.7,PNC,7170,0,0,169014.9685,Yes
1. Good,7/19/15,8,mortgage,Consumer,51.8,US Bancorp,2500,31500,67.74,464232.189,Yes
1. Good,7/18/15,0,own,Business,32.2,Wells Fargo,,3348.24,2.5,365691.3769,Yes
1. Good,7/17/15,10,mortgage,Consumer,45.8,Bank of America,2300,37731.03,71.55,396265.7977,Yes
2. Average,7/16/15,5,mortgage,Consumer,26.3,,3300,27000,20.45,336057.6556,Yes
1. Good,7/15/15,0,own,Business,68.9,Citigroup,,3001.86,2.18,326483.5615,Yes
1. Good,7/14/15,10,rent,Consumer,61.9,Bank of America,1500,1500,5.37,211388.2379,Yes
1. Good,7/13/15,,rent,Consumer,59.5,The Bank of New York Mellon,1294,43827,66.08,544144.6287,Yes
2. Average,7/12/15,10,mortgage,Business,57.6,,,1668.48,2.97,205746.4542,Yes
1. Good,7/11/15,0,mortgage,Business,39.2,HSBC,,1821.87,2.05,229631.852,Yes
2. Average,7/10/15,4,rent,Business,41.3,,,3623.4,2.08,518582.6201,Yes
2. Average,7/9/15,2,mortgage,Business,37.2,,,2359.17,3.08,362250.3167,Yes
2. Average,7/8/15,1,mortgage,Consumer,51.3,The Bank of New York Mellon,2268,12000,19.18,150719.8257,Yes
1. Good,7/7/15,10,mortgage,Business,37.8,Wells Fargo,,1713.45,1.7,284270.1552,Yes
1. Good,7/6/15,10,mortgage,Business,50.6,,,2705.28,1.79,322235.3814,Yes
1. Good,7/5/15,10,mortgage,Consumer,50.1,Citigroup,9000,81300,78.32,950412.4227,Yes
1. Good,7/4/15,4,mortgage,Consumer,73.6,Wells Fargo,2500,14903.46,40.29,214548.0011,Yes
1. Good,7/3/15,10,mortgage,Consumer,45,HSBC,3000,896.82,2.44,447831.5692,Yes
1. Good,7/2/15,,rent,Business,55.6,HSBC,,1001.19,2.03,177668.3935,Yes
1. Good,7/1/15,10,rent,Consumer,24.3,US Bancorp,1600,0,0,305020.1503,Yes
1. Good,6/30/15,10,mortgage,Consumer,56.3,,1500,78522.03,91.28,1072535.344,Yes
1. Good,6/29/15,10,rent,Consumer,33.8,,3300,50400,40.19,673302.9116,Yes
1. Good,6/28/15,8,rent,Consumer,70.6,,3800,33069,52.43,429839.0433,Yes
1. Good,6/27/15,6,rent,Business,52.7,,,1394.31,1.83,195965.7164,Yes
2. Average,6/26/15,6,mortgage,Business,20,Bank of America,,1895.4,1.98,261910.0271,Yes
1. Good,6/25/15,8,mortgage,Consumer,50.6,Wells Fargo,3112,33600,38.36,390703.3011,Yes
1. Good,6/24/15,4,mortgage,Consumer,26.3,Foreign Bank,1350,15408,42.32,203711.5921,Yes
3. Risk,6/23/15,7,own,Consumer,41.1,JPMorgan Chase,1990.4,10800,19.22,118060.0556,Yes
2. Average,6/22/15,9,mortgage,Business,32.3,,,3285.9,2.41,455778.612,Yes
1. Good,6/21/15,3,mortgage,Consumer,34.2,US Bancorp,3700,13500,10.32,153237.8909,Yes
1. Good,6/20/15,10,rent,Consumer,36.6,Bank of America,1000,47100,72.35,653309.9529,Yes
1. Good,6/19/15,6,mortgage,Business,60.2,HSBC,,21374.55,20,304786.2512,Yes
1. Good,6/18/15,10,rent,Consumer,28.8,Bank of America,2250.5,2372.13,2.31,427980.4968,Yes
1. Good,6/17/15,10,mortgage,Business,53.8,,,1670.01,2.2,288605.385,Yes
1. Good,6/16/15,9,mortgage,Business,36.7,,,2284.26,2.31,401440.848,Yes
1. Good,6/15/15,10,rent,Consumer,42.7,,1024,47100,71.69,524006.6409,Yes
1. Good,6/14/15,,mortgage,Business,37.3,The Bank of New York Mellon,,1749.9,1.73,276236.0082,Yes
2. Average,6/13/15,,rent,Consumer,43.9,Citigroup,1613,15000,18.13,178909.8318,Yes
1. Good,6/12/15,,mortgage,Business,60.1,Foreign Bank,,1144.74,2.46,155778.537,Yes
1. Good,6/11/15,8,own,Consumer,22.1,,1000,30000,66.67,398332.9829,Yes
1. Good,6/10/15,8,mortgage,Business,53.2,,,1446.57,1.97,167226.7144,Yes
1. Good,6/9/15,3,rent,Business,46.2,BB&T,,1390.65,2.05,164276.4683,Yes
2. Average,6/8/15,10,rent,Consumer,43.8,Citigroup,3210,36648,24,506878.1092,Yes
1. Good,6/7/15,1,rent,Business,40.2,Citigroup,,2245.98,2.02,323754.2092,Yes
3. Risk,6/6/15,7,own,Consumer,22,Bank of America,1400,6000,14.32,64077.22806,No
1. Good,6/5/15,6,mortgage,Consumer,36.4,,2389,21039,19.75,246647.0962,Yes
1. Good,6/4/15,6,rent,Business,51.8,Citigroup,,2101.17,2.02,261695.3347,Yes
1. Good,6/3/15,2,mortgage,Consumer,32.3,Citigroup,2000,8641.62,17.06,125436.6985,Yes
1. Good,6/2/15,4,mortgage,Consumer,32.5,JPMorgan Chase,1174,1500,2.86,185205.1062,Yes
1. Good,6/1/15,8,mortgage,Business,34.7,Wells Fargo,,2391.39,1.72,343115.076,Yes
2. Average,5/31/15,1,own,Consumer,34.8,HSBC,3000,2700,7.56,399732.2893,Yes
2. Average,5/30/15,1,rent,Consumer,37.2,PNC,4000,0,0,129636.308,Yes
1. Good,5/29/15,10,rent,Consumer,28.8,Bank of America,1500,0,0,255437.6974,Yes
1. Good,5/28/15,3,rent,Business,32.1,,,2475.39,2.22,376981.1016,Yes
1. Good,5/27/15,0,rent,Business,45.3,Wells Fargo,,1306.02,1.93,163275.9309,Yes
2. Average,5/26/15,10,mortgage,Business,33.3,JPMorgan Chase,,31728,15.14,425152.787,Yes
1. Good,5/25/15,0,own,Consumer,24.1,,1000,3000,6.91,446171.5866,Yes
1. Good,5/24/15,10,mortgage,Business,28.2,Citigroup,,54585,78.44,778791.5902,Yes
1. Good,5/23/15,1,own,Consumer,60,PNC,6343,5100,7.24,53562.58093,Yes
1. Good,5/22/15,10,mortgage,Consumer,69.3,US Bancorp,9316,73200,76.49,881503.115,Yes
1. Good,5/21/15,10,mortgage,Business,46.4,Foreign Bank,,1971.36,2.18,322033.6819,Yes
1. Good,5/20/15,,mortgage,Consumer,24.3,The Bank of New York Mellon,1400,25548,70.87,305460.7915,Yes
1. Good,5/19/15,10,mortgage,Consumer,40.7,Wells Fargo,1439,55593,71.19,722105.4147,Yes
1. Good,5/18/15,10,mortgage,Consumer,29.4,PNC,2200,44325.03,85.53,646666.1366,Yes
1. Good,5/17/15,2,mortgage,Business,44.3,Wells Fargo,,746.19,2.02,382260.8454,Yes
1. Good,5/16/15,5,mortgage,Consumer,51.8,US Bancorp,2500,1304.64,1.75,216257.8483,Yes
2. Average,5/15/15,5,mortgage,Consumer,40,Citigroup,1322.08,0,0,197383.4584,Yes
2. Average,5/14/15,1,mortgage,Consumer,53.3,HSBC,5313,9000,8.34,131661.5689,Yes
1. Good,5/13/15,7,rent,Consumer,44.6,Citigroup,0,28470,42.2,351510.3513,Yes
3. Risk,5/12/15,3,rent,Consumer,22.3,Citigroup,1800,0,0,171905.7294,Yes
1. Good,5/11/15,1,own,Consumer,21.3,PNC,1400,5172,8.84,70693.59709,Yes
1. Good,5/10/15,9,rent,Consumer,29.3,,1380,38700,81.13,461433.9434,Yes
1. Good,5/9/15,10,mortgage,Consumer,39.6,,9250,140900.93,90.76,1548998.86,Yes
1. Good,5/8/15,10,own,Consumer,34.9,Citigroup,881,0,0,187638.9611,Yes
1. Good,5/7/15,10,mortgage,Consumer,23.2,,1100,1874.85,4.89,250954.8408,Yes
1. Good,5/6/15,10,own,Consumer,54.3,Foreign Bank,2700,91677,90.25,955997.3246,Yes
1. Good,5/5/15,10,mortgage,Consumer,50.3,Foreign Bank,,1747.2,2.4,244355.0848,Yes
2. Average,5/4/15,6,rent,Business,46.8,,,2359.17,3.08,307294.8238,Yes
1. Good,5/3/15,,mortgage,Consumer,39.6,The Bank of New York Mellon,2387,21000,29.46,303042.5436,Yes
1. Good,5/2/15,0,own,Business,37.1,Citigroup,,4138.83,1.98,54939.85825,Yes
1. Good,5/1/15,1,rent,Consumer,56.9,Citigroup,1771,0,0,141696.612,No
1. Good,4/30/15,2,mortgage,Business,54.2,US Bancorp,,2601.15,2.53,381974.2646,Yes
1. Good,4/29/15,10,rent,Consumer,36.5,Citigroup,3257.5,60600,84.17,620607.4507,Yes
1. Good,4/28/15,,rent,Consumer,34.5,The Bank of New York Mellon,1353,67980,85,838694.6397,Yes
1. Good,4/27/15,,mortgage,Consumer,42,Citigroup,6070,0,0,257297.067,Yes
1. Good,4/26/15,10,mortgage,Business,52.2,Foreign Bank,,1287.15,1.66,197383.4584,Yes
1. Good,4/25/15,2,mortgage,Business,25.2,Foreign Bank,,8784,12,113901.6185,Yes
1. Good,4/24/15,7,own,Business,42.5,HSBC,,2075.85,5,272444.0974,Yes
2. Average,4/23/15,10,mortgage,Consumer,52.5,PNC,4350,13434,10.92,195385.4291,Yes
1. Good,4/22/15,10,own,Consumer,43.8,JPMorgan Chase,,0,0,223813.4169,Yes
1. Good,4/21/15,3,rent,Consumer,26.8,PNC,2200,10797.27,11.64,108345.5998,Yes
1. Good,4/20/15,9,mortgage,Consumer,44.3,,1500,37500,55.56,486408.8805,Yes
1. Good,4/19/15,4,rent,Business,44.2,HSBC,,2167.98,2.2,257582.5338,Yes
1. Good,4/18/15,,rent,Business,62.1,Bank of America,,10539.6,17.93,105658.4006,Yes
2. Average,4/17/15,5,rent,Business,33.9,,,2359.17,3.08,402631.3282,Yes
1. Good,4/16/15,2,rent,Consumer,33.5,,911,7500,14.29,102022.5079,Yes
1. Good,4/15/15,8,mortgage,Consumer,32.8,Wells Fargo,2380,0,0,177818.0437,Yes
1. Good,4/14/15,10,rent,Consumer,59.3,Bank of America,3100,4470,6.93,50046.71782,Yes
2. Average,4/13/15,10,rent,Business,43.2,PNC,,0,0,201672.7569,Yes
1. Good,4/12/15,5,mortgage,Consumer,53.8,,2000,16880.79,19.38,248173.7606,Yes
1. Good,4/11/15,3,mortgage,Consumer,33.8,,0,12001.35,15.12,152045.9969,Yes
1. Good,4/10/15,8,mortgage,Consumer,56.9,Wells Fargo,2000,31362,67.65,466463.0414,Yes
1. Good,4/9/15,9,mortgage,Consumer,57,Foreign Bank,4584,35566.83,54.25,435170.7624,Yes
1. Good,4/8/15,10,mortgage,Consumer,62.5,HSBC,2800,46800,49.37,618219.0813,Yes
1. Good,4/7/15,,mortgage,Business,45.3,The Bank of New York Mellon,,3878.4,2.02,54742.35918,Yes
2. Average,4/6/15,10,mortgage,Business,38.8,,,2314.95,2.92,339727.2615,Yes
1. Good,4/5/15,4,mortgage,Consumer,41.1,PNC,1068.25,15003.33,17.17,163360.2455,Yes
1. Good,4/4/15,2,mortgage,Business,49.8,Citigroup,,9636.75,17,111478.3335,Yes
1. Good,4/3/15,10,rent,Consumer,30.9,Bank of America,1319,35340,82.49,356646.3004,Yes
1. Good,4/2/15,0,own,Consumer,72,PNC,2129,4500,12.92,66138.8637,Yes
1. Good,4/1/15,2,rent,Consumer,33.3,US Bancorp,2875,0,0,157953.9784,Yes
1. Good,3/31/15,2,own,Consumer,21.3,PNC,1441,0,0,177970.5216,Yes
1. Good,3/30/15,10,mortgage,Business,35,Foreign Bank,,1511.19,1.68,174231.8725,Yes
2. Average,3/29/15,0,mortgage,Consumer,35.4,PNC,5332,3864.99,1.97,47475.43508,Yes
1. Good,3/28/15,10,mortgage,Business,54.6,,,1311.27,2.34,186606.0347,Yes
2. Average,3/27/15,10,mortgage,Consumer,57.4,PNC,4020,0,0,226105.0607,Yes
1. Good,3/26/15,,own,Business,41.8,The Bank of New York Mellon,,927.18,2.03,120738.8495,Yes
1. Good,3/25/15,10,rent,Business,40.2,,,1906.23,1.94,248203.0457,Yes
1. Good,3/24/15,,mortgage,Business,49.5,The Bank of New York Mellon,,2967.39,4.11,423382.4298,Yes
1. Good,3/23/15,2,rent,Consumer,33.3,,2600,7502.52,10.3,94729.03924,Yes
1. Good,3/22/15,2,own,Business,38.2,,,1961.82,2.63,299539.5211,Yes
2. Average,3/21/15,7,rent,Business,47.8,,,455.04,3.03,349472.2835,Yes
1. Good,3/20/15,,own,Consumer,46,Bank of America,7953,1593.99,1.82,216836.4218,Yes
1. Good,3/19/15,10,mortgage,Consumer,50.7,,1500,0,0,298462.8493,Yes
1. Good,3/18/15,1,own,Consumer,53,Citigroup,1470,0,0,177476.1154,Yes
1. Good,3/17/15,9,mortgage,Consumer,52.2,Citigroup,1900,35715,42.66,509019.9774,Yes
2. Average,3/16/15,10,mortgage,Consumer,38.8,Citigroup,1500,36000,40.54,489970.9276,No
2. Average,3/15/15,6,mortgage,Consumer,27.6,Citigroup,2850,0,0,159368.3981,Yes
1. Good,3/14/15,,rent,Business,49.6,The Bank of New York Mellon,,2734.56,4.14,395474.6558,Yes
1. Good,3/13/15,8,rent,Consumer,32.8,JPMorgan Chase,2017,30000,56.46,405930.9614,Yes
1. Good,3/12/15,5,rent,Business,38,HSBC,,969.75,0.92,170465.6585,Yes
1. Good,3/11/15,4,rent,Consumer,22.9,Citigroup,1360,14998.62,22.92,176106.2105,No
1. Good,3/10/15,10,rent,Consumer,38.4,Bank of America,,0,0,251954.8673,Yes
1. Good,3/9/15,8,mortgage,Consumer,25.3,,1200,31500,80.77,446171.5866,Yes
1. Good,3/8/15,10,rent,Consumer,44.6,Bank of America,2302,31479,34.41,346044.7283,Yes
2. Average,3/7/15,10,mortgage,Business,54.1,,,93.6,3.12,322687.5084,Yes
1. Good,3/6/15,10,rent,Consumer,24.7,Bank of America,1050,1800,4.11,248313.2808,Yes
1. Good,3/5/15,7,rent,Consumer,56.3,,2800,25818,41.76,370808.0797,Yes
1. Good,3/4/15,10,mortgage,Consumer,57.3,JPMorgan Chase,1765,51000,78.82,716280.4187,Yes
1. Good,3/3/15,10,mortgage,Consumer,49,,4000,63822,68.02,680436.7228,Yes
1. Good,3/2/15,10,mortgage,Consumer,44.3,Bank of America,1830,15000,30.12,161825.9204,Yes
1. Good,3/1/15,5,rent,Consumer,37.3,Citigroup,1854,17148,40.36,228991.7585,Yes
1. Good,2/28/15,10,mortgage,Consumer,46.3,Citigroup,7218,910.89,2.01,169015.0481,Yes
1. Good,2/27/15,6,rent,Consumer,36.3,PNC,5000,1555.32,1.85,183442.6327,Yes
1. Good,2/26/15,2,mortgage,Consumer,38.9,PNC,1993,8400,10.63,84920.83882,Yes
1. Good,2/25/15,1,rent,Business,50,Citigroup,,7043.25,10,75985.66187,Yes
1. Good,2/24/15,10,mortgage,Consumer,45.1,HSBC,,0,0,220487.5524,Yes
1. Good,2/23/15,10,mortgage,Business,58.8,JPMorgan Chase,,1179.87,1.8,193761.2148,Yes
1. Good,2/22/15,9,mortgage,Consumer,76.5,PNC,1200,35700,70.04,469295.5829,Yes
1. Good,2/21/15,1,own,Consumer,37.2,,1500,1545.09,1.88,225923.598,Yes
2. Average,2/20/15,5,mortgage,Consumer,53.7,Citigroup,1900,23916,22.47,274290.5571,Yes
1. Good,2/19/15,2,rent,Business,42.6,,,8676.96,15,107695.8093,Yes
1. Good,2/18/15,7,mortgage,Business,44.5,,,999.54,2.27,177476.1154,Yes
1. Good,2/17/15,2,rent,Consumer,33.3,,2000,9001.74,11.86,96294.40451,Yes
1. Good,2/16/15,6,mortgage,Consumer,32.2,Wells Fargo,1824,0,0,171532.9234,Yes
2. Average,2/15/15,1,rent,Consumer,50.1,HSBC,3320,0,0,154609.6583,Yes
2. Average,2/14/15,9,rent,Business,47.5,,,2390.85,3.12,384005.3588,Yes
1. Good,2/13/15,10,mortgage,Business,39.6,,,2087.61,2.16,336670.7501,Yes
1. Good,2/12/15,6,mortgage,Consumer,62.8,Citigroup,1800,21001.08,25.73,260713.6483,Yes
1. Good,2/11/15,4,rent,Consumer,50,,1900,15393,37.64,206996.8906,Yes
1. Good,2/10/15,,rent,Consumer,54.4,The Bank of New York Mellon,4439,17400,53.7,256689.3687,Yes
1. Good,2/9/15,10,mortgage,Business,33.6,JPMorgan Chase,,1420.32,2.83,198276.6444,Yes
1. Good,2/8/15,10,rent,Business,55.6,,,50811.27,30,681930.0242,Yes
1. Good,2/7/15,0,own,Business,54.8,Citigroup,,3478.47,1.8,468438.4797,Yes
1. Good,2/6/15,10,rent,Business,35.1,Wells Fargo,,1480.29,2.43,218511.4042,Yes
1. Good,2/5/15,3,rent,Consumer,26.9,Foreign Bank,1854,327,0.5,283099.656,Yes
1. Good,2/4/15,0,own,Business,32.8,Citigroup,,3580.29,5.23,392054.345,Yes
2. Average,2/3/15,6,mortgage,Consumer,37.3,Wells Fargo,2159,6000,11.65,74333.97147,Yes
1. Good,2/2/15,2,mortgage,Consumer,28.8,PNC,1150,0,0,152622.8534,Yes
1. Good,2/1/15,,mortgage,Consumer,58.9,The Bank of New York Mellon,7600,124400.48,86.39,1432796.691,Yes
1. Good,1/31/15,1,own,Consumer,47.3,Foreign Bank,1376,5292,13.4,57809.37015,Yes
2. Average,1/30/15,3,mortgage,Consumer,36.1,Citigroup,5000,30629.31,15,433020.3961,Yes
1. Good,1/29/15,10,rent,Consumer,57,,6500,146401.08,84.11,1538644.445,Yes
1. Good,1/28/15,6,mortgage,Consumer,73.7,,1200,21900,52.31,219141.4459,Yes
1. Good,1/27/15,5,mortgage,Consumer,59.7,Foreign Bank,1913,20409,49.29,242930.382,Yes
1. Good,1/26/15,10,own,Consumer,19.8,Bank of America,2100,0,0,250978.1217,Yes
1. Good,1/25/15,7,rent,Consumer,61.7,Wells Fargo,1992,28495.02,26.03,326454.7699,Yes
1. Good,1/24/15,5,rent,Consumer,28.5,,2500,17456.97,24.43,174835.6233,Yes
1. Good,1/23/15,10,mortgage,Business,55.8,,,1542.06,1.93,238560.5766,Yes
2. Average,1/22/15,6,mortgage,Consumer,27.2,The Bank of New York Mellon,3496,1472.97,1.8,193611.2146,Yes
1. Good,1/21/15,10,mortgage,Consumer,40.3,Citigroup,4000,0,0,231464.1877,Yes
2. Average,1/20/15,3,rent,Business,43.3,,,0,0,188027.6962,Yes
2. Average,1/19/15,10,rent,Consumer,43.3,,3150,12249,16.95,159487.5141,Yes
3. Risk,1/18/15,0,rent,Consumer,35.8,,2341,7707,11,102716.5218,Yes
1. Good,1/17/15,10,mortgage,Business,60.1,Foreign Bank,,1644.84,4.31,268787.3367,Yes
1. Good,1/16/15,,mortgage,Consumer,66.6,The Bank of New York Mellon,17960,6000,9.48,80392.32496,Yes
1. Good,1/15/15,5,rent,Consumer,27.5,,1200,19392,27.51,205746.4542,Yes
1. Good,1/14/15,7,rent,Consumer,34.8,,2700,920.37,2.03,167620.9974,Yes
1. Good,1/13/15,5,rent,Consumer,47.5,Citigroup,2400,19539,26.57,226487.398,Yes
1. Good,1/12/15,10,rent,Consumer,36.5,Bank of America,2272,12002.13,14.51,153255.7241,No
1. Good,1/11/15,10,rent,Consumer,41.5,JPMorgan Chase,5000,55812,78.82,602334.2658,Yes
1. Good,1/10/15,2,rent,Consumer,63.3,,4230,7502.64,7.27,76506.12535,Yes
1. Good,1/9/15,4,own,Consumer,50.1,,1700,14667.75,25,157780.9067,Yes
1. Good,1/8/15,8,mortgage,Business,40.9,,,1432.05,1.81,211284.3518,Yes
1. Good,1/7/15,0,own,Business,50.8,,,4218.69,2.01,56669.65801,Yes
1. Good,1/6/15,10,own,Business,44.7,Citigroup,,622.17,1.64,284855.1916,Yes
1. Good,1/5/15,,own,Business,63.5,HSBC,,1095.96,1.49,169201.9371,Yes
2. Average,1/4/15,4,rent,Consumer,21.4,PNC,4400,0,0,177702.0994,Yes
1. Good,1/3/15,8,mortgage,Business,31.7,,,1630.23,1.79,246829.3351,Yes
2. Average,1/2/15,0,rent,Business,38.9,Foreign Bank,,2359.17,3.08,299874.2495,Yes
