#           MJD      wave       x12       t12       x34       t34       x56       t56
   58484.698701  3978.578     1.001     0.020     1.002     0.257     0.999    -0.130
   58484.594106  4058.150     1.001     0.020     1.002     0.253     0.999    -0.128
   58485.167281  4139.313     1.001     0.020     1.002     0.250     0.999    -0.127
   58485.223501  4222.099     1.001     0.019     1.002     0.247     0.999    -0.125
   58485.407172  4306.541     1.001     0.019     1.002     0.244     0.999    -0.124
   58484.829284  4392.672     1.001     0.019     1.002     0.241     0.999    -0.122
   58484.788685  4480.525     1.001     0.019     1.002     0.238     0.999    -0.120
   58485.193080  4570.136     1.001     0.018     1.002     0.234     0.999    -0.119
   58484.757470  4661.538     1.001     0.018     1.002     0.231     0.999    -0.117
   58485.347424  4754.769     1.001     0.018     1.002     0.229     0.999    -0.116
   58485.275079  4849.864     1.001     0.018     1.002     0.226     0.999    -0.114
   58484.845661  4946.862     1.001     0.017     1.002     0.223     0.999    -0.113
   58485.167538  5045.799     1.001     0.017     1.002     0.220     0.999    -0.111
